State,fii_score,hdi,poverty_rate,electricity_access,avg_years_education,wealth_index,topsis_score,topsis_rank,priority_tier
Maharashtra,0.5534687152988501,0.7085454545454545,45.245000000000005,89.47999999999999,6.439999999999999,51.83,0.8239652835089462,1,Low Priority
Tamil Nadu,0.47708028734619107,0.706090909090909,43.94,92.92,5.795,50.81499999999999,0.7586523583874822,2,Low Priority
Andhra Pradesh,0.4234290549381367,0.6678636363636363,55.975,93.215,4.06,45.595,0.6419415703116548,3,Low Priority
Delhi,0.3332749662923122,0.791,13.165,99.42000000000002,8.25,71.71000000000001,0.6232524196283642,4,Low Priority
Chandigarh,0.329046975609748,0.7327272727272728,27.46,100.0,5.66,60.46000000000001,0.5727141065029032,5,Low Priority
Karnataka,0.3451014942608339,0.6634545454545454,50.285,92.335,5.175,48.620000000000005,0.5578364225060115,6,Low Priority
Kerala,0.25034311390711933,0.7928181818181819,21.83,94.84500000000001,8.05,61.93500000000001,0.4859225768459017,7,Low Priority
Gujarat,0.28315774165902113,0.6685454545454546,41.129999999999995,92.66499999999999,5.5649999999999995,54.23000000000001,0.4795198430569259,8,Low Priority
Rajasthan,0.3147245889660036,0.5942727272727273,64.63,75.935,3.8,41.09,0.47089078372763915,9,Low Priority
Punjab,0.2516355253965882,0.7221818181818181,25.974999999999998,97.765,6.109999999999999,63.879999999999995,0.4627713707145934,10,Low Priority
Haryana,0.2341072863034148,0.6935454545454545,39.78,94.74500000000002,5.48,56.370000000000005,0.4076849623123776,11,Low Priority
Uttar Pradesh,0.28509192982837855,0.5830909090909091,77.77000000000001,50.22,4.425000000000001,32.2,0.4073758081745657,12,Medium Priority
West Bengal,0.27099067452478004,0.6285454545454545,72.82499999999999,64.67500000000001,4.984999999999999,35.77,0.4003121279199183,13,Medium Priority
Puducherry,0.1454464205791909,0.8251818181818181,9.25,100.0,9.01,71.38,0.39531028201216195,14,Medium Priority
Dadra & Nagar Haveli*,0.1585271926739762,0.7778181818181819,23.92,100.0,8.1,59.12,0.3702594557800522,15,Medium Priority
Mizoram,0.11654581256284695,0.7532727272727272,24.094999999999995,96.175,7.595,68.42,0.3256040609800568,16,Medium Priority
Madhya Pradesh,0.22498323402455134,0.5832727272727273,76.275,77.15,4.165,33.51,0.32018345199249204,17,Medium Priority
Goa,0.052740685554420234,0.8025454545454545,16.865000000000002,98.00499999999998,8.205,72.88499999999999,0.30976804670024594,18,Medium Priority
Himachal Pradesh,0.11080754218701384,0.7372727272727272,33.025,99.04500000000002,6.39,58.60500000000001,0.2848020276995679,19,Medium Priority
Manipur,0.08551319556366657,0.7313636363636363,51.095,93.48,8.705,51.025,0.2706887024871206,20,Medium Priority
Odisha,0.19309952883894707,0.5825454545454545,81.125,59.28,4.390000000000001,29.64,0.2578370345060191,21,Medium Priority
Jammu & Kashmir,0.12099512182486588,0.6952727272727273,45.795,96.45500000000001,5.55,53.56499999999999,0.25372469305512485,22,High Priority
Nagaland,0.04962981206511166,0.7062727272727273,39.215,91.235,7.35,56.099999999999994,0.24508696202729982,23,High Priority
Sikkim,0.08788642019286773,0.6938181818181818,44.475,96.075,5.505,50.629999999999995,0.225939716669984,24,High Priority
Chhattisgarh,0.15181781169687392,0.6339090909090909,72.67,90.41,4.54,38.15,0.22373728491007314,25,High Priority
Uttarakhand,0.07627116659305118,0.711,45.41,94.02,5.49,51.55,0.215575950311936,26,High Priority
Meghalaya,0.0829707751076202,0.6657272727272727,49.91499999999999,84.655,6.025,49.17,0.20841766577141324,27,High Priority
Arunachal Pradesh,0.050929243209236176,0.6749090909090909,48.73,87.65,5.6899999999999995,51.91499999999999,0.1943424160453581,28,High Priority
Assam,0.11098197710524932,0.6228181818181818,76.68,50.15,5.8149999999999995,33.665,0.15335073554949458,29,High Priority
Tripura,0.06094373664576991,0.6638181818181818,75.155,79.175,5.939999999999999,38.61,0.13929605822284744,30,High Priority
Bihar,0.1260114579100729,0.554,87.27,44.185,3.6899999999999995,25.295,0.13367782115805069,31,High Priority
Jharkhand,0.09394810074566214,0.634,76.18,75.97,4.59,34.21,0.12675081963120424,32,High Priority
